Expo_Name,Expo_Year,Expo_Country,Expo_City,Setlist,Song_Name,Song_Artist,Song_Vocalist,Song_Plays(Mil)
Miku Expo 2016 Fukuoka,2016,Japan,Fukuoka,Miku Expo 2016 Japan,Glass Wall,GuitarHeroPianoZero,Miku,2.1
Miku Expo 2016 Fukuoka,2016,Japan,Fukuoka,Miku Expo 2016 Japan,Snowman,halyosy,Kaito,0.1
Miku Expo 2016 Fukuoka,2016,Japan,Fukuoka,Miku Expo 2016 Japan,Change Me,shu-t,Meiko,1.7
Miku Expo 2016 Fukuoka,2016,Japan,Fukuoka,Miku Expo 2016 Japan,Tokyo Teddy Bear,Neru & Ore BananaP,Rin,37.2
Miku Expo 2016 Fukuoka,2016,Japan,Fukuoka,Miku Expo 2016 Japan,Butterfly on Your Right Shoulder,noripy,Rin & Len,38
Miku Expo 2016 Fukuoka,2016,Japan,Fukuoka,Miku Expo 2016 Japan,Remote Control,JesusP,Rin & Len,19.2
Miku Expo 2016 Fukuoka,2016,Japan,Fukuoka,Miku Expo 2016 Japan,Love is War,ryo,Miku,4
Miku Expo 2016 Fukuoka,2016,Japan,Fukuoka,Miku Expo 2016 Japan,"Last Night, Good Night",kz,Miku,3.8
Miku Expo 2016 Fukuoka,2016,Japan,Fukuoka,Miku Expo 2016 Japan,Ten Thousand Stars,CircusP,Miku,2.8
Miku Expo 2016 Fukuoka,2016,Japan,Fukuoka,Miku Expo 2016 Japan,Luka Luka★Night Fever,samfree,Luka,36.5
Miku Expo 2016 Fukuoka,2016,Japan,Fukuoka,Miku Expo 2016 Japan,The Intense Voice of Hatsune Miku,cosMo@BousouP,Miku,5
Miku Expo 2016 Fukuoka,2016,Japan,Fukuoka,Miku Expo 2016 Japan,Secret Police,BuririP,Miku,1
Miku Expo 2016 Fukuoka,2016,Japan,Fukuoka,Miku Expo 2016 Japan,Tell Your World,kz,Miku,50.5
Miku Expo 2016 Fukuoka,2016,Japan,Fukuoka,Miku Expo 2016 Japan,Blue Star,HachioujiP,Miku,0.5
Miku Expo 2016 Fukuoka,2016,Japan,Fukuoka,Miku Expo 2016 Japan,Cumulonimbus Graffiti,ryo,Miku,1.5
Miku Expo 2016 Fukuoka,2016,Japan,Fukuoka,Miku Expo 2016 Japan,39,DECO*27 & sasakure,Miku,7.2
Miku Expo 2016 Fukuoka,2016,Japan,Fukuoka,Miku Expo 2016 Japan,Star Fragment,marasy,Miku,0.1
Miku Expo 2016  Osaka,2016,Japan,Osaka,Miku Expo 2016 Japan,World is Mine,"ryo, supercell",Miku,67.5
Miku Expo 2016  Osaka,2016,Japan,Osaka,Miku Expo 2016 Japan,The Disappearance of Hatsune Miku -DEAD END-,cosMo@BousouP,Miku,20.7
Miku Expo 2016  Osaka,2016,Japan,Osaka,Miku Expo 2016 Japan,Two-Sided Lovers,Wowaka,Miku,43.5
Miku Expo 2016  Osaka,2016,Japan,Osaka,Miku Expo 2016 Japan,Unhappy Refrain,wowaka,Miku,18.3
Miku Expo 2016  Osaka,2016,Japan,Osaka,Miku Expo 2016 Japan,World's End Dancehall,wowaka,Miku & Luka,45.5
Miku Expo 2016  Osaka,2016,Japan,Osaka,Miku Expo 2016 Japan,magnet,Minato Takahiro,Miku & Luka,10.1
Miku Expo 2016  Osaka,2016,Japan,Osaka,Miku Expo 2016 Japan,Weekender Girl,kz & HachioujiP,Miku,15.7
Miku Expo 2016  Osaka,2016,Japan,Osaka,Miku Expo 2016 Japan,Common World Denomination,PinnochioP,Miku,19.7
Miku Expo 2016  Osaka,2016,Japan,Osaka,Miku Expo 2016 Japan,Love Words,DECO*27,Miku,5.2
Miku Expo 2016  Osaka,2016,Japan,Osaka,Miku Expo 2016 Japan,Glass Wall,GuitarHeroPianoZero,Miku,2.1
Miku Expo 2016  Osaka,2016,Japan,Osaka,Miku Expo 2016 Japan,Snowman,halyosy,Kaito,0.1
Miku Expo 2016  Osaka,2016,Japan,Osaka,Miku Expo 2016 Japan,Change Me,shu-t,Meiko,1.7
Miku Expo 2016  Osaka,2016,Japan,Osaka,Miku Expo 2016 Japan,Tokyo Teddy Bear,Neru & Ore BananaP,Rin,37.2
Miku Expo 2016  Osaka,2016,Japan,Osaka,Miku Expo 2016 Japan,Butterfly on Your Right Shoulder,noripy,Rin & Len,38
Miku Expo 2016  Osaka,2016,Japan,Osaka,Miku Expo 2016 Japan,Remote Control,JesusP,Rin & Len,19.2
Miku Expo 2016  Osaka,2016,Japan,Osaka,Miku Expo 2016 Japan,Love is War,ryo,Miku,4
Miku Expo 2016  Osaka,2016,Japan,Osaka,Miku Expo 2016 Japan,"Last Night, Good Night",kz,Miku,3.8
Miku Expo 2016  Osaka,2016,Japan,Osaka,Miku Expo 2016 Japan,Ten Thousand Stars,CircusP,Miku,2.8
Miku Expo 2016  Osaka,2016,Japan,Osaka,Miku Expo 2016 Japan,Luka Luka★Night Fever,samfree,Luka,36.5
Miku Expo 2016  Osaka,2016,Japan,Osaka,Miku Expo 2016 Japan,The Intense Voice of Hatsune Miku,cosMo@BousouP,Miku,5
Miku Expo 2016  Osaka,2016,Japan,Osaka,Miku Expo 2016 Japan,Secret Police,BuririP,Miku,1
Miku Expo 2016  Osaka,2016,Japan,Osaka,Miku Expo 2016 Japan,Tell Your World,kz,Miku,50.5
Miku Expo 2016  Osaka,2016,Japan,Osaka,Miku Expo 2016 Japan,Blue Star,HachioujiP,Miku,0.5
Miku Expo 2016  Osaka,2016,Japan,Osaka,Miku Expo 2016 Japan,Cumulonimbus Graffiti,ryo,Miku,1.5
Miku Expo 2016  Osaka,2016,Japan,Osaka,Miku Expo 2016 Japan,39,DECO*27 & sasakure,Miku,7.2
Miku Expo 2016  Osaka,2016,Japan,Osaka,Miku Expo 2016 Japan,Star Fragment,marasy,Miku,0.1
Miku Expo 2016  Nagoya,2016,Japan,Nagoya,Miku Expo 2016 Japan,World is Mine,"ryo, supercell",Miku,67.5
Miku Expo 2016  Nagoya,2016,Japan,Nagoya,Miku Expo 2016 Japan,The Disappearance of Hatsune Miku -DEAD END-,cosMo@BousouP,Miku,20.7
Miku Expo 2016  Nagoya,2016,Japan,Nagoya,Miku Expo 2016 Japan,Two-Sided Lovers,Wowaka,Miku,43.5
Miku Expo 2016  Nagoya,2016,Japan,Nagoya,Miku Expo 2016 Japan,Unhappy Refrain,wowaka,Miku,18.3
Miku Expo 2016  Nagoya,2016,Japan,Nagoya,Miku Expo 2016 Japan,World's End Dancehall,wowaka,Miku & Luka,45.5
Miku Expo 2016  Nagoya,2016,Japan,Nagoya,Miku Expo 2016 Japan,magnet,Minato Takahiro,Miku & Luka,10.1
Miku Expo 2016  Nagoya,2016,Japan,Nagoya,Miku Expo 2016 Japan,Weekender Girl,kz & HachioujiP,Miku,15.7
Miku Expo 2016  Nagoya,2016,Japan,Nagoya,Miku Expo 2016 Japan,Common World Denomination,PinnochioP,Miku,19.7
Miku Expo 2016  Nagoya,2016,Japan,Nagoya,Miku Expo 2016 Japan,Love Words,DECO*27,Miku,5.2
Miku Expo 2016  Nagoya,2016,Japan,Nagoya,Miku Expo 2016 Japan,Glass Wall,GuitarHeroPianoZero,Miku,2.1
Miku Expo 2016  Nagoya,2016,Japan,Nagoya,Miku Expo 2016 Japan,Snowman,halyosy,Kaito,0.1
Miku Expo 2016  Nagoya,2016,Japan,Nagoya,Miku Expo 2016 Japan,Change Me,shu-t,Meiko,1.7
Miku Expo 2016  Nagoya,2016,Japan,Nagoya,Miku Expo 2016 Japan,Tokyo Teddy Bear,Neru & Ore BananaP,Rin,37.2
Miku Expo 2016  Nagoya,2016,Japan,Nagoya,Miku Expo 2016 Japan,Butterfly on Your Right Shoulder,noripy,Rin & Len,38
Miku Expo 2016  Nagoya,2016,Japan,Nagoya,Miku Expo 2016 Japan,Remote Control,JesusP,Rin & Len,19.2
Miku Expo 2016  Nagoya,2016,Japan,Nagoya,Miku Expo 2016 Japan,Love is War,ryo,Miku,4
Miku Expo 2016  Nagoya,2016,Japan,Nagoya,Miku Expo 2016 Japan,"Last Night, Good Night",kz,Miku,3.8
Miku Expo 2016  Nagoya,2016,Japan,Nagoya,Miku Expo 2016 Japan,Ten Thousand Stars,CircusP,Miku,2.8
Miku Expo 2016  Nagoya,2016,Japan,Nagoya,Miku Expo 2016 Japan,Luka Luka★Night Fever,samfree,Luka,36.5
